Enfermedad,Especie/s afectadas,Clasificación del virus,Tipo de Material genético,Transmisión,Tiempo de Incubación,Sintomatología,Diagnóstico y tipo de muestra,Vacunación en Uruguay
Fiebre Aftosa,"Bovinos, Ovinos, Suinos, Bubalinos",Picornaviridae/Aphthovirus,RNA de simple hebra,"Directo (contacto con secreciones infectadas), indirecto (fómites, aire)",2-14 días,"Vesículas en boca, pezuñas, ubres; fiebre, salivación excesiva, cojera","Detección de antígenos virales en muestras de vesículas, saliva, sangre; PCR",
Estomatitis Vesicular,"Bovinos, Ovinos, Suinos, Equinos",Picornaviridae/Vesivirus,RNA de simple hebra,"Directo (contacto con secreciones infectadas), indirecto (fómites, aire)",2-8 días,"Vesículas en boca, pezuñas; fiebre, sialorrea, anorexia","Detección de antígenos virales en muestras de vesículas, saliva, sangre; PCR",
Influenza Aviar,Aves (principalmente aves de corral),Orthomyxoviridae/Influenzavirus A,RNA de segmento simple,"Directo (a través de secreciones respiratorias), indirecto (a través de fómites)",1-3 días,"Secreción nasal, tos, dificultad para respirar, reducción de la producción de huevos","Aislamiento viral, PCR, serología",
Influenza Equina,Equinos,Orthomyxoviridae/Influenzavirus C,RNA de segmento simple,"Directo (a través de secreciones respiratorias), indirecto (fómites)",1-5 días,"Fiebre, tos seca, secreción nasal, debilidad, pérdida de apetito","Aislamiento viral, PCR, serología",
Enfermedad de Newcastle,Aves (principalmente aves de corral),Paramyxoviridae/Avulavirus,RNA de segmento simple,"Directo (a través de secreciones respiratorias y excreciones), indirecto (a través de fómites)",1-10 días,"Respiración ruidosa, diarrea, edema en la cabeza y cuello, nerviosismo","Aislamiento viral, PCR, serología",
Rinoneumonitis Equina,Equinos,Herpesviridae/Varicellovirus,DNA de doble hebra,Directo (a través de secreciones respiratorias y contacto directo),2-10 días,"Secreción nasal, tos, fiebre, aborto en yeguas gestantes","Aislamiento viral, PCR, serología",
Rinotraqueitis Infecciosa Bovina,Bovinos,Herpesviridae/Varicellovirus,DNA de doble hebra,"Directo (a través de secreciones respiratorias, contacto directo)",2-5 días,"Secreción nasal, fiebre, tos, conjuntivitis, aborto en vacas gestantes","Aislamiento viral, PCR, serología",
Diarrea Viral Bovina,Bovinos,Flaviviridae/Pestivirus,RNA de simple hebra,"Directo (contacto con secreciones infectadas), indirecto (fómites, aire)",2-14 días,"Diarrea, fiebre, erosiones en la boca, aborto en vacas gestantes","Detección de antígenos virales en muestras de sangre, PCR",
Lengua Azul,"Rumiantes (Bovinos, Ovinos, Caprinos)",Reoviridae/Orbivirus,RNA de segmento doble,Indirecto (mosquitos vectores),2-8 días,"Hiperemia de la lengua, inflamación de la boca, dificultad para alimentarse","Serología, PCR",
Encefalitis Equina del Este,Equinos,Togaviridae/Alphavirus,RNA de simple hebra,Indirecto (mosquitos vectores),5-15 días,"Fiebre, ataxia, convulsiones, signos neurológicos","Serología, PCR",
Encefalitis Equina del Oeste,Equinos,Togaviridae/Alphavirus,RNA de simple hebra,Indirecto (mosquitos vectores),5-15 días,"Fiebre, ataxia, convulsiones, signos neurológicos","Serología, PCR",
Encefalitis Equina Venezolana,Equinos,Togaviridae/Alphavirus,RNA de simple hebra,Indirecto (mosquitos vectores),5-15 días,"Fiebre, ataxia, convulsiones, signos neurológicos","Serología, PCR",
Encefalitis del Nilo Occidental,"Aves, Mamíferos (incluyendo humanos)",Flaviviridae/Flavivirus,RNA de simple hebra,Indirecto (mosquitos vectores),2-14 días,"Fiebre, debilidad, dolor de cabeza, convulsiones en humanos; signos neurológicos en animales","Serología, PCR",
